,epoch,train_loss,train_acc,val_loss,val_acc,total_params,total_flops,filters_in_conv1,filters_in_conv2
0,11,0.008747805155813694,0.9973166666666666,0.028713130967871255,0.9918,431080,4586000,20,50
1,11,0.0018830910326914211,0.9993666666666666,0.036339214748203355,0.9933,393548,3738000,17,46
2,21,0.00026967666340938954,0.9999833333333333,0.04861772688141775,0.9935,383971,3494800,16,45
3,21,0.0005937990183253835,0.9999,0.05734293832839323,0.9927,374444,3258000,15,44
4,21,0.001401869555899816,0.9997,0.0691905917958866,0.993,364967,3027600,14,43
5,21,0.001404106136863508,0.9998,0.08445112495058568,0.9922,346163,2586000,12,41
6,21,0.00026895510227019104,0.9999833333333333,0.0819958818155212,0.9926,335810,2218000,10,40
7,21,0.0008939312659531651,0.9999166666666667,0.07998082762343477,0.9919,318332,1971600,9,38
8,21,0.002013817227424223,0.9995833333333334,0.09725269108642426,0.9916,300954,1738000,8,36
9,21,0.001762543431811226,0.9997,0.08131937811972932,0.9924,283676,1517200,7,34
10,21,0.0008381008507403067,0.9998166666666667,0.10091760355710269,0.991,266498,1309200,6,32
11,21,0.0004430452099381834,0.9999166666666667,0.09822348622036173,0.9912,257546,1146000,5,31
12,21,0.005118793321061548,0.9990166666666667,0.10178392659167972,0.9898,240543,960400,4,29
13,21,0.0018316850077065812,0.9996833333333334,0.11005757946359793,0.9884,231716,813200,3,28
